group_col,group,promo_value,promo_intensity,promo_value_log,pred_sales,pred_mean_sales,lift_vs_zero,lift_pct_vs_zero,n_rows
store_profile,Core_driven_store,164.07999999999998,164.07999999999998,5.106430204884381,10101.03870547193,10101.03870547193,-0.7757907839386462,-7.679717185721287e-05,22108
store_profile,Core_driven_store,13199.380000000023,13199.380000000023,9.488000896038889,10102.138456770186,10102.138456770186,0.3239605143171502,3.206953705566686e-05,22108
store_profile,Core_driven_store,20960.03999999997,20960.03999999997,9.95042075552464,10080.45773215341,10080.45773215341,-21.356764102458328,-0.002114151285432334,22108
store_profile,Core_driven_store,36311.849999999926,36311.849999999926,10.499926952102031,10016.949169708443,10016.949169708443,-84.86532654742587,-0.008400998313607947,22108
store_profile,Core_driven_store,48272.029999999984,48272.029999999984,10.784628298592482,10041.159593553195,10041.159593553195,-60.65490270267401,-0.006004357209801774,22108
store_profile,Core_driven_store,96513.93000000005,96513.93000000005,11.47745299038585,9713.73429983776,9713.73429983776,-388.08019641810824,-0.03841688011217649,22108
store_profile,Holiday_driven_store,164.07999999999998,164.07999999999998,5.106430204884381,19345.68798550992,19345.68798550992,-2.14618285657707,-0.00011092625861379648,5726
store_profile,Holiday_driven_store,13199.380000000023,13199.380000000023,9.488000896038889,19426.671948163417,19426.671948163417,78.83777979691877,0.004074759950435057,5726
store_profile,Holiday_driven_store,20960.03999999997,20960.03999999997,9.95042075552464,19401.102072321864,19401.102072321864,53.26790395536591,0.0027531714140106886,5726
store_profile,Holiday_driven_store,36311.849999999926,36311.849999999926,10.499926952102031,19330.27736506194,19330.27736506194,-17.556803304560162,-0.0009074299041318717,5726
store_profile,Holiday_driven_store,48272.029999999984,48272.029999999984,10.784628298592482,19393.973619121763,19393.973619121763,46.13945075526499,0.002384734660931842,5726
store_profile,Holiday_driven_store,96513.93000000005,96513.93000000005,11.47745299038585,18933.510663204466,18933.510663204466,-414.32350516203223,-0.021414464355883654,5726
store_profile,Tail_heavy_store,164.07999999999998,164.07999999999998,5.106430204884381,16833.437195650775,16833.437195650775,-1.729941173343832,-0.00010275758828434048,95979
store_profile,Tail_heavy_store,13199.380000000023,13199.380000000023,9.488000896038889,16849.76953283667,16849.76953283667,14.602396012553072,0.000867374579288421,95979
store_profile,Tail_heavy_store,20960.03999999997,20960.03999999997,9.95042075552464,16800.0881293169,16800.0881293169,-35.07900750721819,-0.0020836744430347068,95979
store_profile,Tail_heavy_store,36311.849999999926,36311.849999999926,10.499926952102031,16682.72571769329,16682.72571769329,-152.44141913082785,-0.009054939454529542,95979
store_profile,Tail_heavy_store,48272.029999999984,48272.029999999984,10.784628298592482,16706.949740261563,16706.949740261563,-128.21739656255522,-0.007616045360316089,95979
store_profile,Tail_heavy_store,96513.93000000005,96513.93000000005,11.47745299038585,16380.414051199608,16380.414051199608,-454.7530856245103,-0.027012092124099784,95979
