group_col,group,promo_value,promo_intensity,promo_value_log,pred_sales,pred_mean_sales,lift_vs_zero,lift_pct_vs_zero,n_rows
tier,A_core,164.07999999999998,164.07999999999998,5.106430204884381,35108.48948495945,35108.48948495945,-0.9184523829608224,-2.6159722903898795e-05,31553
tier,A_core,13199.380000000023,13199.380000000023,9.488000896038889,35125.21891923808,35125.21891923808,15.81098189567274,0.0004503346203926202,31553
tier,A_core,20960.03999999997,20960.03999999997,9.95042075552464,35069.97812240771,35069.97812240771,-39.429814934701426,-0.001123055535572385,31553
tier,A_core,36311.849999999926,36311.849999999926,10.499926952102031,34938.96356446709,34938.96356446709,-170.44437287531764,-0.004854663831970598,31553
tier,A_core,48272.029999999984,48272.029999999984,10.784628298592482,34984.03959632436,34984.03959632436,-125.36834101805289,-0.0035707905197885997,31553
tier,A_core,96513.93000000005,96513.93000000005,11.47745299038585,34438.32516327398,34438.32516327398,-671.0827740684326,-0.019114044169188854,31553
tier,B_holiday,164.07999999999998,164.07999999999998,5.106430204884381,10219.740873206467,10219.740873206467,-4.831705024451367,-0.0004725581424047518,28377
tier,B_holiday,13199.380000000023,13199.380000000023,9.488000896038889,10259.109740651049,10259.109740651049,34.5371624201307,0.003377858796138196,28377
tier,B_holiday,20960.03999999997,20960.03999999997,9.95042075552464,10192.831062269666,10192.831062269666,-31.741515961251935,-0.0031044345099405547,28377
tier,B_holiday,36311.849999999926,36311.849999999926,10.499926952102031,10019.666988278595,10019.666988278595,-204.90558995232277,-0.020040504224947863,28377
tier,B_holiday,48272.029999999984,48272.029999999984,10.784628298592482,10046.065386592642,10046.065386592642,-178.5071916382767,-0.01745864585267216,28377
tier,B_holiday,96513.93000000005,96513.93000000005,11.47745299038585,9786.625583860208,9786.625583860208,-437.94699437070994,-0.042832792375413375,28377
tier,C_tail,164.07999999999998,164.07999999999998,5.106430204884381,8640.168530423796,8640.168530423796,-0.4600445822234178,-5.32420272703479e-05,63883
tier,C_tail,13199.380000000023,13199.380000000023,9.488000896038889,8646.595195911521,8646.595195911521,5.966620905501259,0.000690530886000629,63883
tier,C_tail,20960.03999999997,20960.03999999997,9.95042075552464,8618.883612571615,8618.883612571615,-21.744962434404442,-0.002516594972882432,63883
tier,C_tail,36311.849999999926,36311.849999999926,10.499926952102031,8555.860003737012,8555.860003737012,-84.76857126900723,-0.009810463501950513,63883
tier,C_tail,48272.029999999984,48272.029999999984,10.784628298592482,8572.352261161312,8572.352261161312,-68.27631384470806,-0.007901776271486185,63883
tier,C_tail,96513.93000000005,96513.93000000005,11.47745299038585,8311.95673510048,8311.95673510048,-328.67183990553895,-0.0380379548840068,63883
