group_col,group,n_slices,best_promo_min,best_promo_max,best_promo_range,best_promo_std,best_lift_pct_min,best_lift_pct_max,best_lift_pct_range,best_lift_pct_std,turning_promo_min,turning_promo_max,turning_promo_range,stable_best_promo,stable_turning_promo,stable_lift_pct,stable_all
overall,overall,3,5322.449999999999,5322.449999999999,0.0,0.0,0.0001818976947768131,0.00238191241773435,0.002200014722957537,0.0009016410985248463,164.07999999999998,164.07999999999998,0.0,True,True,True,True
store_profile,Core_driven_store,3,5322.449999999999,13199.380000000023,7876.930000000024,3713.2204119545127,0.0004375352313056805,0.0037717887153270154,0.003334253484021335,0.001559526361250641,164.07999999999998,164.07999999999998,0.0,False,True,True,False
store_profile,Holiday_driven_store,3,5322.449999999999,48272.029999999984,42949.57999999999,20246.62617807607,0.0018717859394671505,0.032286062253821954,0.030414276314354803,0.013392107188651458,164.07999999999998,164.07999999999998,0.0,False,True,False,False
store_profile,Tail_heavy_store,3,5322.449999999999,20960.03999999997,15637.589999999973,7371.630620276615,0.0014198779941305716,0.0023506888119559136,0.000930810817825342,0.0004066824544434764,164.07999999999998,164.07999999999998,0.0,False,True,True,False
tier,A_core,3,5322.449999999999,5322.449999999999,0.0,0.0,0.0004426282719498689,0.001025019102592228,0.000582390830642359,0.00023929633832005327,164.07999999999998,13199.380000000023,13035.300000000023,True,False,True,False
tier,B_holiday,3,5322.449999999999,20960.03999999997,15637.589999999973,7371.630620276615,0.003405451912189351,0.013223696109134825,0.009818244196945474,0.004009814344838631,164.07999999999998,164.07999999999998,0.0,False,True,True,False
tier,C_tail,3,5322.449999999999,5322.449999999999,0.0,0.0,0.0001756817323968993,0.0036474307576718746,0.0034717490252749754,0.0014869439352855303,164.07999999999998,13199.380000000023,13035.300000000023,True,False,True,False
tier_store_profile,A_core@Core_driven_store,3,164.07999999999998,5322.449999999999,5158.369999999999,2431.6789379128336,7.809437552803681e-05,0.00034525149636255813,0.00026715712083452133,0.00012318502038602365,164.07999999999998,13199.380000000023,13035.300000000023,False,False,True,False
tier_store_profile,A_core@Tail_heavy_store,2,5322.449999999999,5322.449999999999,0.0,0.0,0.0006345036432312232,0.00097864346826071,0.0003441398250294867,0.00017206991251474336,164.07999999999998,164.07999999999998,0.0,True,True,True,True
tier_store_profile,B_holiday@Core_driven_store,2,5322.449999999999,13199.380000000023,7876.930000000024,3938.465000000012,0.0026636252138000772,0.019271166215066447,0.01660754100126637,0.008303770500633184,164.07999999999998,164.07999999999998,0.0,False,True,True,False
tier_store_profile,B_holiday@Holiday_driven_store,2,5322.449999999999,5322.449999999999,0.0,0.0,0.006238746007290417,0.011487376588006007,0.00524863058071559,0.002624315290357795,164.07999999999998,164.07999999999998,0.0,True,True,True,True
tier_store_profile,B_holiday@Tail_heavy_store,3,5322.449999999999,20960.03999999997,15637.589999999973,7371.630620276615,0.003282457264344672,0.01137866511944558,0.008096207855100908,0.003310870303866411,164.07999999999998,164.07999999999998,0.0,False,True,True,False
tier_store_profile,C_tail@Core_driven_store,3,5322.449999999999,5322.449999999999,0.0,0.0,6.47588997966266e-05,0.0004977816699368288,0.0004330227701402022,0.0002003381587985349,164.07999999999998,13199.380000000023,13035.300000000023,True,False,True,False
tier_store_profile,C_tail@Holiday_driven_store,2,5322.449999999999,48272.029999999984,42949.57999999999,21474.789999999994,0.0005709413386346939,0.032256919891747074,0.03168597855311238,0.01584298927655619,164.07999999999998,13199.380000000023,13035.300000000023,False,False,False,False
tier_store_profile,C_tail@Tail_heavy_store,3,5322.449999999999,5322.449999999999,0.0,0.0,0.00020330486553050257,0.0036855807166023954,0.003482275851071893,0.0014840635974087061,164.07999999999998,164.07999999999998,0.0,True,True,True,True
